Date,Symbol,Open,High,Low,Close,Volume,RSI,MACD,MACD_Signal,MACD_Hist,BB_Width,BB_Pct,EMA_10,EMA_30,EMA_Cross,ATR,OBV,Stoch_K,Stoch_D,ROC,Vol_MA_Ratio
2019-01-28,MCB,0.2861523186543628,0.28934497816593885,0.29833800073054917,0.2914114043355326,0.03261582800221566,0.7847432517035383,0.5164293678262564,0.4926641484676653,0.5138022668602982,0.1461538402617095,0.7552590091558803,0.28715686584968586,0.2841431248911657,0.5176316653639276,0.1235046395624252,0.20206512526782316,0.9172126265634313,0.9347141583938156,0.6565771717857727,0.21374604088248858
2019-01-29,MCB,0.288488494334774,0.2925764192139738,0.30077316449531233,0.2955643261074459,0.02020983008634979,0.8088508960414651,0.5275844230790062,0.5035317355460477,0.520350562208937,0.16579377124065173,0.7451579676591863,0.29116879807460855,0.28638673461997494,0.5286231815590904,0.12177443169749526,0.2074488520201397,0.9358823529411763,0.9238628972075656,0.6529879357331734,0.129601488897399
2019-01-30,MCB,0.29491297745590467,0.2954876273653566,0.3074698648484111,0.2985685673892555,0.020180423276475144,0.8252163799306176,0.5375768002974282,0.5146128365583997,0.5226274025737813,0.17675270623514316,0.7316034452005123,0.29503617829482115,0.28870571642509907,0.5383650770919195,0.11422129144448763,0.212824803034233,0.940555555555556,0.9569062694472179,0.6819003588212224,0.12963061649585214
2019-01-31,MCB,0.3007242144609275,0.2954876273653566,0.30457810787775486,0.2953286993402451,0.01382855234355182,0.7621997877864622,0.5422306333009516,0.5245894493448272,0.5108495137562903,0.17610195310767013,0.6854196734414195,0.2975696345144034,0.2906377010104834,0.5424908232149442,0.11203278569479065,0.2091284114763598,0.8684848484848493,0.9400345383555981,0.6731308121401705,0.08645677245714298
2019-02-01,MCB,0.2978331970564187,0.2954585152838428,0.3059478874954341,0.30004123468426025,0.01604509063785319,0.7917857524167322,0.5481427263389531,0.5339830512907163,0.5046324833723722,0.1721520443529644,0.7020462736508974,0.30055993718219504,0.2927903294150717,0.5480585746643536,0.10765717885093291,0.21341089930280982,0.9654545454545459,0.9502737509679724,0.6838476640994371,0.09619423885063066
2019-02-04,MCB,0.29914729587664995,0.29694323144104806,0.3105138195543651,0.3022796889726673,0.022301389438683917,0.8049992754158393,0.5532640432765968,0.5427213398320131,0.49764444290372867,0.18056982778816755,0.6916518428968258,0.30344234901043327,0.29496809036110255,0.5528637045525386,0.09860358959212255,0.21934767543625439,0.9817647058823528,0.9645421976372747,0.6752549185183062,0.129748551754128
2019-02-06,MCB,0.3012790561850252,0.2976710334788938,0.30780469986606607,0.3008364750235627,0.012854451766454203,0.7758609506558257,0.5551639644070667,0.5501658337650068,0.4838478548626874,0.18150760818658973,0.6611695704556987,0.3055197092874555,0.29689960615522454,0.5543486790557743,0.09623411044841919,0.21590885520702602,0.939130434782608,0.9890028519462692,0.649381561148556,0.07654137700652956
2019-02-07,MCB,0.3027975703772923,0.2975254730713246,0.30990502861317426,0.2989809142318568,0.020110582103022863,0.7381943009799183,0.5542334787295955,0.5558991496245045,0.46560043074035645,0.1777210761619171,0.6323422080183067,0.3068581119730441,0.2985705508826563,0.5529748319276947,0.09036374499226817,0.2105513715712129,0.9026086956521735,0.9672428144502028,0.6379387334573061,0.11343665662731062
2019-02-08,MCB,0.2992933068566756,0.2954876273653566,0.29833800073054917,0.29238336475023574,0.009171248829654914,0.6173634131254547,0.5478200403525865,0.558953726597755,0.4370352654151237,0.1720021849063551,0.5709057235158351,0.30666870392332063,0.2996502895440432,0.5459770233057848,0.10047050736499404,0.2080864625544455,0.7429508196721321,0.8845547907404879,0.5707145964693158,0.05245988958683868
2019-02-11,MCB,0.2978331970564187,0.2925764192139738,0.2864056982832096,0.28266376060320453,0.008259637723540918,0.47863103247636296,0.5350270584871952,0.558341333735992,0.3979319395487671,0.16133684650164193,0.4836962541472922,0.30462144181904444,0.2999482111754996,0.5324840331522801,0.12404659334133787,0.20586260142259852,0.4706744868035186,0.7223544382059041,0.5456735069931599,0.0468209449024449
2019-02-12,MCB,0.2803702838453452,0.2802037845705968,0.2922196517715817,0.28236922714420365,0.0025988268226717535,0.47489165400786615,0.5238929547544449,0.5551916464937263,0.3708750905852649,0.15210912324969358,0.4713633112812894,0.30288906701003754,0.3002053315574143,0.5210389452665476,0.11544243734494665,0.2051355698987255,0.3429084380610411,0.5285612341989578,0.5314495344368901,0.015102232595635529
2019-02-13,MCB,0.2832320990538489,0.2809606986899563,0.2952331669304761,0.28587417530631487,0.008513271458709733,0.5160171941298507,0.5168102968730642,0.5509799543290328,0.35955022934510733,0.14557316233576148,0.49370947714010305,0.3021540413600355,0.3007026714671824,0.5140614120621112,0.10672435648002217,0.20742649677274788,0.3660806618407442,0.39807196893565483,0.5297236492570863,0.04976554583353952
2019-02-14,MCB,0.2861523186543628,0.2838427947598253,0.2957810787775478,0.28796536286522156,0.0019261460467892488,0.5396996402100164,0.5120058667044813,0.5464628931820245,0.3562938778172281,0.1323414037504921,0.5014423828714157,0.3019597862027796,0.3013211464749476,0.5095560229655046,0.10001053169427591,0.2079756582847643,0.43950361944157246,0.3872792237549658,0.5271879922748549,0.011335775701269675
2019-02-15,MCB,0.2890433360588717,0.2838427947598253,0.29830756118348967,0.2894674835061264,0.0032200456812736295,0.5567407439844956,0.5086341674316787,0.5420437951015378,0.35733852281989154,0.11542548261552907,0.5037940296964669,0.3020932952740261,0.30200978041484733,0.5065668387083465,0.08991467056413922,0.2088669522786033,0.49224405377456015,0.43898587753788065,0.540989494228401,0.01891523844926105
2019-02-18,MCB,0.29199275785539075,0.28675400291120823,0.286314379642031,0.2836062676720076,0.008314775492055879,0.47077346593982317,0.5013364434508787,0.536765198151221,0.34817311762135006,0.09601931091049626,0.4140255128528408,0.3010614206217938,0.3022245344260332,0.49941304952935395,0.10405856268586668,0.20662851163758778,0.2886597938144316,0.41217931836924365,0.5102178978558067,0.05012071859189553
2019-02-19,MCB,0.28907253825487683,0.2838427947598253,0.2952940460245952,0.2867872290292178,0.005488045892855627,0.5098571086878679,0.4972927242831717,0.5315763357996123,0.34913001702675545,0.07822462059160801,0.4343111035153977,0.3008364550676394,0.3026585027302751,0.49573788764560855,0.09914407124847653,0.20811950944189425,0.4,0.3985014025962517,0.5131362446520531,0.03283260820431056
2019-02-20,MCB,0.2861523186543628,0.28660844250363904,0.2922500913186412,0.2894674835061264,0.025499380012551563,0.5413408642039038,0.49549860817127045,0.5269966580747721,0.35562615581302337,0.0656132989846692,0.45952488940785474,0.30117420616345697,0.30326085562144395,0.49440387195264934,0.10305522382258499,0.2149018971071163,0.49381443298969047,0.39904513795366564,0.5250668024980204,0.14504044422741444
2019-02-21,MCB,0.28623992524237823,0.2954876273653566,0.29833800073054917,0.30151390197926486,0.016471489381035542,0.6559642107140845,0.5019580586732347,0.5248759832263905,0.381848130661669,0.056278776508314234,0.6769099687983594,0.3037958430589623,0.30470698944998337,0.5016955388965852,0.1115328230432401,0.21929713313780333,0.9154639175257738,0.6160726947062355,0.5656675214336666,0.0932869894737224
2019-02-22,MCB,0.3007534166569326,0.3041630276564774,0.30780469986606607,0.3082881715362865,0.012979430708421445,0.7050212893310001,0.5111681044207639,0.525379587262438,0.40983255295012283,0.06549835357060571,0.7603748249577247,0.30725968880015836,0.3065561758017222,0.511665856579141,0.1187228878692712,0.2227690002544805,0.937133277451802,0.8020522032098348,0.605320391205149,0.07849382797526162
2019-02-25,MCB,0.30513374605770355,0.3042212518195051,0.31812370631925,0.3091128652214892,0.013766062872568199,0.7106595886980631,0.51831795460437,0.5274904641108602,0.42697196651668784,0.07261271449705106,0.7328312891124754,0.3102543025056513,0.3083464852057381,0.519238434840715,0.10980298418474276,0.22644886836862932,0.9589958158995807,0.9631187552004982,0.6377942940260563,0.0856267295772142
2019-02-26,MCB,0.29491297745590467,0.29985443959243085,0.3074394253013516,0.2990987276154572,0.009590295870368606,0.5670426858861326,0.5162842086322108,0.5286933337112926,0.4172892843827553,0.07311123981844889,0.5569139029655176,0.31075480693195295,0.3092875538069804,0.5169968014945746,0.11545430378146608,0.2238731550821807,0.6744769874476996,0.8796783267386195,0.6085884559848349,0.06516491837482488
2019-02-27,MCB,0.2978039948604136,0.2925764192139738,0.28616218190673326,0.29055725730442983,0.0163465104390683,0.46994789909154333,0.508095905777546,0.52769956476485,0.3938650739927796,0.07356739410322222,0.41810443398924346,0.3095013873846399,0.30954207383028626,0.5083417388213519,0.13707443720923435,0.21951096593894245,0.43416666666666737,0.7055288428129393,0.5722605091868508,0.11265768702739044
2019-02-28,MCB,0.28910174045088194,0.2911208151382825,0.2922500913186412,0.2873762959472196,0.018309414998200855,0.4375699077184305,0.49888227649533895,0.5247035496394302,0.37251379805545565,0.07433785066037726,0.3752503424545758,0.30785656677553,0.3095471038163751,0.4987815899095692,0.1451098988083474,0.21462974626930287,0.3441666666666663,0.4926475565696306,0.5564956932965995,0.12711588283562758
2019-03-01,MCB,0.28399135614998244,0.28937409024745275,0.2952940460245952,0.28999764373232806,0.025712579384142738,0.46474357322569737,0.49297885078211573,0.5208964963182374,0.3638651610918906,0.07466499489827391,0.423254138051115,0.30702114984528245,0.30974387572944667,0.4928646447292159,0.1452546659392855,0.22146850803664342,0.4183333333333342,0.4039591939261892,0.5598282148484053,0.17024683019030853
2019-03-04,MCB,0.29050344585912863,0.28963609898107723,0.29148910264215266,0.281544533459001,0.018496883411151716,0.3816434455373927,0.4820853791872771,0.5152485641725096,0.3442346520353571,0.07735613246314305,0.3043598830589952,0.3046919063869907,0.30930859235549174,0.4817439106075282,0.15145430919420444,0.21653771803583066,0.17916666666666714,0.3156668153690379,0.5520610223111878,0.12136898819360896
2019-03-05,MCB,0.2832320990538489,0.2803202328966521,0.28920613661268724,0.27839302544769096,0.016261965860678695,0.3538355074617848,0.47106907979873625,0.5080985872211643,0.32821735433655624,0.07980049193104535,0.278340166600186,0.30217260043217636,0.3086704804392169,0.4706299855394982,0.14611770679760416,0.2121978841399842,0.09000000000000105,0.22766297399671442,0.5331795907447818,0.10925239854506558
2019-03-06,MCB,0.27885176965307795,0.27510917030567694,0.2830877876537198,0.27253180961357215,0.010365900480812368,0.30542343071737255,0.4582100889196572,0.49930678264117845,0.31070945989845555,0.08667285692964002,0.2272421120759202,0.2989702407586216,0.30764408510107827,0.45767909976530896,0.1421798513489187,0.2094170857578976,0.007686395080706718,0.08547868017108269,0.5078912345332126,0.07039855855364492
2019-03-07,MCB,0.2759315500525639,0.2747307132459972,0.2831182272007793,0.2730325164938737,0.013512429137399386,0.3117443058906436,0.4484490673117698,0.48994157506623126,0.3045948843296501,0.09158861774944627,0.2638198274292894,0.29644761000144076,0.30672059566552584,0.44810531145794574,0.13791301282903118,0.213029888129871,0.02075326671790792,0.03062889241892092,0.4752085764533307,0.09417179213973666
2019-03-08,MCB,0.2719016470038547,0.26928675400291124,0.2709424083769634,0.2617224316682375,0.010836409438806689,0.22852967166212287,0.43306698473705996,0.478774856642399,0.2853841820481378,0.10903011629421999,0.17747075655283964,0.292181699737682,0.3050279950271502,0.4326309365247885,0.14351420000613252,0.21012467793621256,0.02470588235294044,0.008021155348923104,0.4239514474038254,0.07505631480115198
2019-03-11,MCB,0.26571078145076515,0.26055312954876275,0.27127724339461834,0.2635779924599435,0.012336156742413585,0.2527975059473888,0.422551713368958,0.46732953886345063,0.2824132927691369,0.12106059312026743,0.23472457485338813,0.28905266524476353,0.3035805515744489,0.4224057705473663,0.1347857466082638,0.21342645077925632,0.06176470588235361,0.026745479619630117,0.42709760624002524,0.0840275786863035
2019-03-12,MCB,0.26565237705875483,0.26052401746724896,0.2630281261414831,0.2561852026390198,0.03665926435997935,0.20431652355681432,0.4095800828842502,0.45507455368306393,0.2737792734926486,0.13885271702132315,0.20447627817951602,0.2850532574404802,0.3016848210422666,0.40958590282331026,0.13876354451738548,0.20369317045831425,0.05816326530612177,0.03969849043207353,0.43263815260453875,0.21968869662099924
2019-03-13,MCB,0.2554900128489663,0.2544395924308589,0.2642457080238646,0.25538996229971733,0.01031076271229741,0.1993613489038659,0.3993896942637952,0.44283623218940327,0.27395696941094017,0.15425860253263934,0.2358805532973291,0.281626190810285,0.29985312835807104,0.3997331491160705,0.13135048761900692,0.20092695158539625,0.044387755102041064,0.04651323301825891,0.4538647216959415,0.061456815044437736
2019-03-14,MCB,0.2569501226492233,0.25473071324599716,0.2648544989650554,0.25483034872761556,0.002212862443067038,0.1956860701248926,0.39165725375177707,0.43119840914915086,0.28036048178283324,0.16695920275867707,0.26181641366620534,0.2787132770651139,0.29809860644709857,0.39243851241917854,0.1240460004984527,0.20030197662570323,0.03469387755102077,0.037140104301060115,0.46113703516771626,0.013233104299538181
2019-03-15,MCB,0.25402990304870926,0.24890829694323147,0.2526786801412395,0.24487511781338356,0.00972997821727317,0.136351858189341,0.3794477158760316,0.4189714724293873,0.27407837278856395,0.1858810678848132,0.22535924987275027,0.27439181837651944,0.29572785862769296,0.3803478442265691,0.1265216823094345,0.19768932858269422,0.03255813953488319,0.028274467212441808,0.42419111319879155,0.05664948841442037
