Date,Open,High,Low,Close,Volume,Symbol,Sector
2019-01-01,69.5,72.5,69.5,71.81,739000.0,EFERT,Fertilizer
2019-01-02,72.0,73.6,71.45,72.6,951000.0,EFERT,Fertilizer
2019-01-03,72.9,72.95,71.26,72.21,557500.0,EFERT,Fertilizer
2019-01-04,72.1,72.5,71.15,72.02,372000.0,EFERT,Fertilizer
2019-01-07,72.89,75.0,72.26,74.86,2722000.0,EFERT,Fertilizer
2019-01-08,75.25,76.67,74.5,76.15,1472500.0,EFERT,Fertilizer
2019-01-09,76.0,76.44,75.01,75.17,539500.0,EFERT,Fertilizer
2019-01-10,75.3,75.5,74.52,74.98,577000.0,EFERT,Fertilizer
2019-01-11,75.48,78.0,75.0,75.7,5471500.0,EFERT,Fertilizer
2019-01-14,76.25,76.94,75.0,75.35,1578000.0,EFERT,Fertilizer
2019-01-15,75.25,75.3,74.31,74.55,1013000.0,EFERT,Fertilizer
2019-01-16,74.5,75.0,74.15,74.25,568500.0,EFERT,Fertilizer
2019-01-17,74.01,74.85,73.0,74.6,1570000.0,EFERT,Fertilizer
2019-01-18,74.12,75.0,74.0,74.87,582000.0,EFERT,Fertilizer
2019-01-21,74.94,75.6,74.06,74.75,947000.0,EFERT,Fertilizer
2019-01-22,74.98,75.8,74.94,75.11,1161500.0,EFERT,Fertilizer
2019-01-23,75.05,75.39,73.81,74.2,1031000.0,EFERT,Fertilizer
2019-01-24,74.05,74.05,72.1,73.0,5531000.0,EFERT,Fertilizer
2019-01-25,73.51,74.0,72.5,73.69,1192000.0,EFERT,Fertilizer
2019-01-28,73.7,74.0,73.25,73.49,814500.0,EFERT,Fertilizer
2019-01-29,73.5,75.38,73.1,75.08,3834500.0,EFERT,Fertilizer
2019-01-30,75.49,75.94,74.8,75.63,752000.0,EFERT,Fertilizer
2019-01-31,75.85,76.45,74.8,75.92,973500.0,EFERT,Fertilizer
2019-02-01,75.92,76.89,75.61,75.99,773500.0,EFERT,Fertilizer
2019-02-04,75.71,76.9,75.71,76.25,1026000.0,EFERT,Fertilizer
2019-02-06,76.45,78.75,76.31,77.64,4851500.0,EFERT,Fertilizer
2019-02-07,77.7,78.7,77.45,78.24,2657500.0,EFERT,Fertilizer
2019-02-08,78.48,78.81,76.03,76.27,9945000.0,EFERT,Fertilizer
2019-02-11,76.0,76.4,75.0,75.18,4045500.0,EFERT,Fertilizer
2019-02-12,75.18,76.49,75.18,76.14,999000.0,EFERT,Fertilizer
2019-02-13,76.25,76.5,75.5,75.66,972500.0,EFERT,Fertilizer
2019-02-14,75.8,76.0,75.05,75.3,418000.0,EFERT,Fertilizer
2019-02-15,75.5,75.99,75.1,75.85,720500.0,EFERT,Fertilizer
2019-02-18,75.99,75.99,74.8,75.51,1040500.0,EFERT,Fertilizer
2019-02-19,75.49,75.9,73.99,74.07,1767500.0,EFERT,Fertilizer
2019-02-20,74.25,75.85,73.76,75.49,1172000.0,EFERT,Fertilizer
2019-02-21,75.11,75.68,74.85,75.01,912500.0,EFERT,Fertilizer
2019-02-22,74.99,75.48,74.75,74.9,882000.0,EFERT,Fertilizer
2019-02-25,74.9,75.24,74.5,74.57,430000.0,EFERT,Fertilizer
2019-02-26,74.25,74.79,73.8,74.0,1120000.0,EFERT,Fertilizer
2019-02-27,73.01,74.9,70.3,74.24,3033000.0,EFERT,Fertilizer
2019-02-28,74.0,74.8,73.01,73.49,995500.0,EFERT,Fertilizer
2019-03-01,73.65,74.74,73.65,74.3,1169000.0,EFERT,Fertilizer
2019-03-04,74.49,75.9,74.0,75.42,1105500.0,EFERT,Fertilizer
2019-03-05,75.7,75.95,75.25,75.52,756000.0,EFERT,Fertilizer
2019-03-06,75.5,75.55,74.5,75.22,436500.0,EFERT,Fertilizer
2019-03-07,75.22,75.25,74.61,74.76,224500.0,EFERT,Fertilizer
2019-03-08,74.3,74.5,73.9,73.99,513500.0,EFERT,Fertilizer
2019-03-11,74.0,74.1,73.4,73.5,610500.0,EFERT,Fertilizer
2019-03-12,73.9,73.94,73.02,73.34,459000.0,EFERT,Fertilizer
2019-03-13,73.45,73.89,73.35,73.54,2088500.0,EFERT,Fertilizer
2019-03-14,73.79,74.2,73.5,74.05,885500.0,EFERT,Fertilizer
2019-03-15,74.0,74.4,73.52,73.91,362000.0,EFERT,Fertilizer
2019-03-18,74.0,76.75,73.99,75.67,2994500.0,EFERT,Fertilizer
2019-03-19,73.99,73.99,72.55,72.6,800000.0,EFERT,Fertilizer
2019-03-20,72.52,72.89,71.93,72.27,501500.0,EFERT,Fertilizer
2019-03-21,72.9,72.9,70.85,71.73,562500.0,EFERT,Fertilizer
2019-03-22,72.0,72.39,71.8,72.03,273000.0,EFERT,Fertilizer
2019-03-25,72.0,72.0,70.26,70.45,298000.0,EFERT,Fertilizer
2019-03-26,70.5,70.9,70.0,70.71,516500.0,EFERT,Fertilizer
2019-03-27,70.7,72.5,70.27,72.14,496500.0,EFERT,Fertilizer
