Date,Open,High,Low,Close,Volume,Symbol,Sector
2019-01-01,128.5,134.4,128.5,134.07,683500.0,OGDC,Energy
2019-01-02,134.0,139.5,133.01,134.5,1931200.0,OGDC,Energy
2019-01-03,134.75,137.12,129.5,129.98,2993400.0,OGDC,Energy
2019-01-04,130.5,131.99,129.75,130.18,2008700.0,OGDC,Energy
2019-01-07,131.98,135.92,131.6,135.1,2447700.0,OGDC,Energy
2019-01-08,135.89,140.0,135.5,139.14,3143500.0,OGDC,Energy
2019-01-09,141.6,141.8,138.3,139.62,2182200.0,OGDC,Energy
2019-01-10,141.5,145.0,140.74,142.96,2488700.0,OGDC,Energy
2019-01-11,143.25,143.9,140.0,142.4,1855600.0,OGDC,Energy
2019-01-14,141.51,143.51,141.17,142.06,1336700.0,OGDC,Energy
2019-01-15,142.5,147.99,142.2,146.23,5573200.0,OGDC,Energy
2019-01-16,146.0,146.0,144.1,144.91,1925700.0,OGDC,Energy
2019-01-17,145.0,145.0,142.25,144.54,2828300.0,OGDC,Energy
2019-01-18,144.98,145.9,143.2,145.15,1419700.0,OGDC,Energy
2019-01-21,145.9,148.85,145.35,147.87,4068500.0,OGDC,Energy
2019-01-22,147.8,149.87,146.52,148.62,2171200.0,OGDC,Energy
2019-01-23,149.5,150.25,148.51,149.47,1781500.0,OGDC,Energy
2019-01-24,152.0,152.5,149.01,149.62,1923000.0,OGDC,Energy
2019-01-25,149.9,149.9,148.05,148.26,1601900.0,OGDC,Energy
2019-01-28,148.2,149.45,147.1,147.59,673400.0,OGDC,Energy
2019-01-29,147.33,152.97,146.0,150.0,2184400.0,OGDC,Energy
2019-01-30,150.3,151.9,149.6,150.2,941800.0,OGDC,Energy
2019-01-31,151.0,151.9,149.61,150.44,3305300.0,OGDC,Energy
2019-02-01,150.01,150.88,149.21,150.06,1015200.0,OGDC,Energy
2019-02-04,152.0,152.49,151.03,151.93,2969100.0,OGDC,Energy
2019-02-06,151.51,151.89,149.9,150.18,1325700.0,OGDC,Energy
2019-02-07,149.94,150.5,149.0,149.7,1175500.0,OGDC,Energy
2019-02-08,148.69,149.4,145.52,147.4,2433100.0,OGDC,Energy
2019-02-11,148.0,148.25,144.2,145.11,2109500.0,OGDC,Energy
2019-02-12,145.99,148.9,145.48,148.61,1500900.0,OGDC,Energy
