Date,Open,High,Low,Close,Volume,Symbol,Sector
2019-01-01,9000.0,9400.0,9000.0,9400.0,380.0,NESTLE,Consumer
2019-01-02,9011.0,9100.0,8930.0,8930.0,160.0,NESTLE,Consumer
2019-01-03,8511.0,8511.0,8501.0,8501.0,80.0,NESTLE,Consumer
2019-01-04,8076.0,8925.99,8076.0,8200.0,240.0,NESTLE,Consumer
2019-01-08,7955.0,8199.0,7925.0,8199.0,60.0,NESTLE,Consumer
2019-01-09,8300.0,8300.0,8300.0,8300.0,20.0,NESTLE,Consumer
2019-01-15,8100.0,8100.0,8100.0,8100.0,40.0,NESTLE,Consumer
2019-01-18,8200.0,8200.0,7900.0,7900.0,80.0,NESTLE,Consumer
2019-01-21,8031.0,8031.0,8031.0,8031.0,20.0,NESTLE,Consumer
2019-01-22,8100.0,8100.0,8100.0,8100.0,20.0,NESTLE,Consumer
2019-01-24,8200.0,8200.0,8200.0,8200.0,20.0,NESTLE,Consumer
2019-01-29,8200.0,8200.0,8200.0,8200.0,40.0,NESTLE,Consumer
2019-01-30,8600.0,8600.0,8600.0,8600.0,20.0,NESTLE,Consumer
2019-02-01,8510.0,8510.0,8510.0,8510.0,20.0,NESTLE,Consumer
2019-02-04,8770.0,8900.0,8750.0,8900.0,100.0,NESTLE,Consumer
2019-02-06,9000.0,9000.0,9000.0,9000.0,40.0,NESTLE,Consumer
2019-02-07,8800.0,8800.0,8800.0,8800.0,20.0,NESTLE,Consumer
2019-02-08,8810.0,8810.0,8800.0,8800.0,40.0,NESTLE,Consumer
2019-02-13,8850.0,8850.0,8800.0,8800.0,60.0,NESTLE,Consumer
2019-02-14,8800.0,8800.0,8800.0,8800.0,40.0,NESTLE,Consumer
2019-02-18,8890.0,8900.0,8890.0,8900.0,40.0,NESTLE,Consumer
2019-02-25,8600.0,8600.0,8600.0,8600.0,20.0,NESTLE,Consumer
2019-02-26,8500.0,8500.0,8500.0,8500.0,20.0,NESTLE,Consumer
2019-02-28,8300.0,8300.0,8200.0,8200.0,5000.0,NESTLE,Consumer
2019-03-01,8200.0,8200.0,8200.0,8200.0,20.0,NESTLE,Consumer
2019-03-04,8200.0,8200.0,8200.0,8200.0,60.0,NESTLE,Consumer
2019-03-07,8200.0,8200.0,8200.0,8200.0,20.0,NESTLE,Consumer
